id,title,image_url,url,cook_time,cost,age_state,ingredients
72,離乳食♪レンジでイチゴトロトロソース,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/e23783099c41d76ba8a7ef9f91ce6f214dcbbb27.64.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1960001014/,1,2,2,48
73,離乳食に使うピーマンをお湯で皮をむく方法,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/5b8a315f7523616562837fe7f416fa351d212e3a.05.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1120013339/,1,1,2,"17,68"
74,離乳食鶏ひき肉の冷凍ストック,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/4546360d6471cfbb280e3f499f2e7793d21fed17.60.9.3.3.jpg,https://recipe.rakuten.co.jp/recipe/1480015683/,1,1,2,"17,9"
75,離乳食中期 電子レンジで簡単お麩粥,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/c047df7deeef575a54571c204f6ed815094b91eb.16.9.3.3.jpg,https://recipe.rakuten.co.jp/recipe/1480019685/,1,1,2,"46,58"
76,離乳食中期「バナナ」冷凍保存法,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/e737259bee662c6b1cd36a0b548ac8ea617dfa93.21.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1400031106/,1,1,2,52
77,離乳食中期鮭のフリージング,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/7e657dd60b7f81c0d715d86eb6b6e37f74db973f.44.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1490004071/,3,1,2,38
78,離乳食中期赤ちゃん用に、炊飯器で同時に5倍がゆ！,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/59396d8399fac8b1d786a597084eaa9c331a6830.01.9.3.3.jpg,https://recipe.rakuten.co.jp/recipe/1400033720/,5,1,2,"1,17"
79,離乳食中期〜全卵〜 冷凍OK,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/eb5ac3a94da586788b611e6a277fbbfce18f6150.72.9.3.3.jpg,https://recipe.rakuten.co.jp/recipe/1920028274/,1,1,2,2
80,離乳食用バナナの保存方法,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/7d421baeef2c47a4e9176ec784e856200532c677.77.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1450023880/,1,1,2,52
81,冷凍OK⭐︎離乳食中期〜つかみ食べ用のにんじん〜,https://recipe.r10s.jp/recipe-space/d/strg/ctrl/3/5523aad785140e965fb2937c34c79eb2a2898d5e.72.9.3.3.jpg,https://recipe.rakuten.co.jp/recipe/1920028178/,3,1,2,"17,57"
